# SignalUncertainties for simplified model based on squark+gluino production 
# with all open production modes (go go, sq sq, sq go, sq sq~) considered
# See further details in ATLSUSYSW-233
SAMPLE        FS        CROSSSECTION[pb]           K-Factor  FILTEREFF REL.UNCERT
373756         3         0.0002547747         1         1         0.19791747
373756         4         0.0000348084         1         1         0.44629956
373757         1         0.0000000350         1         1         0.78301656
373757         2         0.0000000000         1         1         0.00000000
373757         3         0.0001974802         1         1         0.19805619
373757         4         0.0000297402         1         1         0.45389544
373758         1         0.0081696236         1         1         0.26489749
373758         2         0.2961226355         1         1         0.18247882
373758         3         0.0000584153         1         1         0.22568941
373758         4         0.0000037293         1         1         0.60520903
373759         1         0.0019918790         1         1         0.31180840
373759         2         0.0110795095         1         1         0.28814823
373759         3         0.0000672167         1         1         0.22131110
373759         4         0.0000043952         1         1         0.59212532
373760         1         0.0005235615         1         1         0.36284721
373760         2         0.0006466288         1         1         0.44168162
373760         3         0.0000703637         1         1         0.21597860
373760         4         0.0000047860         1         1         0.58620039
373761         1         0.0001416064         1         1         0.41925870
373761         2         0.0000471193         1         1         0.61176116
373761         3         0.0000684785         1         1         0.21030302
373761         4         0.0000048934         1         1         0.58131899
373762         1         0.0000386920         1         1         0.48038827
373762         2         0.0000038743         1         1         0.75739451
373762         3         0.0000635115         1         1         0.20261354
373762         4         0.0000049171         1         1         0.58403435
373763         1         0.0000025298         1         1         0.64276714
373763         2         0.0000000196         1         1         0.92264852
373763         3         0.0000473342         1         1         0.24463802
373763         4         0.0000038817         1         1         0.59249917
373764         1         0.0000001687         1         1         0.74369515
373764         2         0.0000000000         1         1         0.86827454
373764         3         0.0000373832         1         1         0.24136519
373764         4         0.0000033735         1         1         0.60047473
373765         1         0.0000000080         1         1         0.80793644
373765         2         0.0000000000         1         1         0.00000000
373765         3         0.0000296455         1         1         0.23984015
373765         4         0.0000029269         1         1         0.60418083
373766         1         0.0009363776         1         1         0.36928649
373766         2         0.3058944599         1         1         0.17695113
373766         3         0.0000003198         1         1         0.35618522
373766         4         0.0000000134         1         1         0.86600001
373767         1         0.0002360158         1         1         0.42483943
373767         2         0.0119197158         1         1         0.26827461
373767         3         0.0000003993         1         1         0.35479517
373767         4         0.0000000163         1         1         0.86091694
373768         1         0.0000624689         1         1         0.48468787
373768         2         0.0007203443         1         1         0.40669262
373768         3         0.0000004653         1         1         0.35409155
373768         4         0.0000000191         1         1         0.85783023
373769         1         0.0000167400         1         1         0.54146647
373769         2         0.0000533165         1         1         0.56749563
373769         3         0.0000005055         1         1         0.35468139
373769         4         0.0000000210         1         1         0.85561553
373770         1         0.0000044372         1         1         0.59931876
373770         2         0.0000042850         1         1         0.72819773
373770         3         0.0000005170         1         1         0.35486751
373770         4         0.0000000222         1         1         0.85513470
373771         1         0.0001069422         1         1         0.48620281
373771         2         0.3117794703         1         1         0.17359028
373771         3         0.0000000004         1         1         0.58085877
373771         4         0.0000000000         1         1         0.68590460
373772         1         0.0000264254         1         1         0.54868175
373772         2         0.0125079634         1         1         0.25815471
373772         3         0.0000000005         1         1         0.57981797
373772         4         0.0000000000         1         1         0.65227188
373773         1         0.0000066628         1         1         0.60522930
373773         2         0.0007763262         1         1         0.38111384
373773         3         0.0000000007         1         1         0.57795830
373773         4         0.0000000000         1         1         0.62530469
373774         1         0.0000016571         1         1         0.66100859
373774         2         0.0000583527         1         1         0.53206131
373774         3         0.0000000008         1         1         0.57833012
373774         4         0.0000000000         1         1         0.60617915
373775         1         0.0000100177         1         1         0.63868995
373775         2         0.2896112458         1         1         0.22139847
373775         3         0.0000000000         1         1         0.00000000
373775         4         0.0000000000         1         1         0.00000000
373776         1         0.0000022762         1         1         0.69196768
373776         2         0.0115098850         1         1         0.30603355
373776         3         0.0000000000         1         1         0.00000000
373776         4         0.0000000000         1         1         0.00000000
373777         1         0.0000005094         1         1         0.73988125
373777         2         0.0007195715         1         1         0.41161624
373777         3         0.0000000000         1         1         0.00000000
373777         4         0.0000000000         1         1         0.00000000
373778         1         0.0000001084         1         1         0.77879848
373778         2         0.0000540917         1         1         0.54258870
373778         3         0.0000000000         1         1         0.00000000
373778         4         0.0000000000         1         1         0.00000000
373779         1         0.9281409904         1 0.4065673         0.09951558
373779         2         0.2361110521         1 0.3275706         0.19268087
373779         3         0.4265640566         1 0.2545302         0.09724381
373779         4         0.2000434337         1 0.2130353         0.13671889
373780         1         0.1748318752         1 0.9380587         0.12196932
373780         2         0.0102500951         1 0.9226752         0.30776355
373780         3         0.2937714729         1 0.2735289         0.07337835
373780         4         0.1611276226         1 0.2135202         0.12579818
373781         1         0.0412378273         1         1         0.16204547
373781         2         0.0007733101         1         1         0.40328714
373781         3         0.2124318193         1         1         0.06427567
373781         4         0.1370613079         1         1         0.12985558
373782         1         0.0108374646         1         1         0.20698300
373782         2         0.0000703236         1         1         0.50031637
373782         3         0.1586451053         1         1         0.05573937
373782         4         0.1166500487         1         1         0.13458521
373783         1         0.0030572923         1         1         0.25857918
373783         2         0.0000064910         1         1         0.61568792
373783         3         0.1221988495         1         1         0.05174432
373783         4         0.1024992950         1         1         0.13848138
373784         1         0.0002365673         1         1         0.42496977
373784         2         0.0000000329         1         1         0.85543888
373784         3         0.0737649773         1         1         0.07738182
373784         4         0.0786368287         1         1         0.16636588
373785         1         0.0000213323         1         1         0.54090736
373785         2         0.0000000000         1         1         0.75462598
373785         3         0.0516068858         1         1         0.07945260
373785         4         0.0690889559         1         1         0.17342144
373786         1         0.0000017785         1         1         0.65482487
373786         2         0.0000000000         1         1         0.00000000
373786         3         0.0389020287         1         1         0.08693535
373786         4         0.0630564100         1         1         0.17968879
373787         1         0.2623128694         1 0.4166053         0.13866100
373787         2         0.2606435298         1 0.9199396         0.19633813
373787         3         0.0464201330         1 0.9145473         0.13277728
373787         4         0.0102600385         1 0.9166105         0.17117061
373788         1         0.0504479502         1         1         0.15782706
373788         2         0.0089216035         1         1         0.32152556
373788         3         0.0383121999         1         1         0.11586918
373788         4         0.0099951951         1         1         0.17317951
373789         1         0.0123178821         1         1         0.19828634
373789         2         0.0006064300         1         1         0.45423246
373789         3         0.0300350257         1         1         0.09873009
373789         4         0.0086698600         1         1         0.16801480
373790         1         0.0034064822         1         1         0.25129440
373790         2         0.0000557298         1         1         0.56013118
373790         3         0.0238933718         1         1         0.08984577
373790         4         0.0076733085         1         1         0.17150946
373791         1         0.0009854118         1         1         0.30598145
373791         2         0.0000053565         1         1         0.66229238
373791         3         0.0191662573         1         1         0.08385248
373791         4         0.0067573639         1         1         0.17821046
373792         1         0.0000757165         1         1         0.47665129
373792         2         0.0000000291         1         1         0.87061178
373792         3         0.0120326950         1         1         0.12400771
373792         4         0.0048679554         1         1         0.22400595
373793         1         0.0000065599         1         1         0.59593144
373793         2         0.0000000000         1         1         0.77592604
373793         3         0.0085471621         1         1         0.11975385
373793         4         0.0040625179         1         1         0.23562955
373794         1         0.0000005001         1         1         0.70175763
373794         2         0.0000000000         1         1         0.00000000
373794         3         0.0063605556         1         1         0.11734459
373794         4         0.0035448539         1         1         0.24375731
373795         1         0.0786832588         1         1         0.17700334
373795         2         0.2791496049         1         1         0.19126115
373795         3         0.0052803790         1         1         0.16133551
373795         4         0.0006842525         1         1         0.27778186
373796         1         0.0169170510         1         1         0.20934151
373796         2         0.0097201740         1         1         0.31670892
373796         3         0.0050815466         1         1         0.15024585
373796         4         0.0007179673         1         1         0.26978969
373797         1         0.0040940445         1         1         0.24607826
373797         2         0.0005594251         1         1         0.47165048
373797         3         0.0044336696         1         1         0.13779689
373797         4         0.0007105250         1         1         0.27248345
373798         1         0.0011224722         1         1         0.29840309
373798         2         0.0000466372         1         1         0.60874700
373798         3         0.0037323581         1         1         0.12555564
373798         4         0.0006406132         1         1         0.26766898
