                        SAMPLE     FS   CROSSECTION[pb]     K-FACTOR     FILTEREFF   REL.UNCERT
susy.370621.NUHM2_m12_600.slha    113      0.0001361496   1.00000000    1.00000000   0.07047382
susy.370621.NUHM2_m12_600.slha    114      0.0000378018   1.00000000    1.00000000   0.07036880
susy.370621.NUHM2_m12_600.slha    115      0.8824882181   1.00000000    1.00000000   0.06538492
susy.370621.NUHM2_m12_600.slha    116      0.0006132703   1.00000000    1.00000000   0.05826096
susy.370621.NUHM2_m12_600.slha    117      0.5187808653   1.00000000    1.00000000   0.08546879
susy.370621.NUHM2_m12_600.slha    118      0.0002849360   1.00000000    1.00000000   0.07563404
susy.370621.NUHM2_m12_600.slha    122      0.0001627043   1.00000000    1.00000000   0.06980768
susy.370621.NUHM2_m12_600.slha    123      0.0078958339   1.00000000    1.00000000   0.06365983
susy.370621.NUHM2_m12_600.slha    124      0.0005370949   1.00000000    1.00000000   0.06338450
susy.370621.NUHM2_m12_600.slha    125      0.6791453722   1.00000000    1.00000000   0.06375124
susy.370621.NUHM2_m12_600.slha    126      0.0007771667   1.00000000    1.00000000   0.05779085
susy.370621.NUHM2_m12_600.slha    127      0.3930396433   1.00000000    1.00000000   0.08337329
susy.370621.NUHM2_m12_600.slha    128      0.0003583832   1.00000000    1.00000000   0.07532675
susy.370621.NUHM2_m12_600.slha    133      0.0000068529   1.00000000    1.00000000   0.09776310
susy.370621.NUHM2_m12_600.slha    134      0.0000060514   1.00000000    1.00000000   0.07178228
susy.370621.NUHM2_m12_600.slha    135      0.0118585454   1.00000000    1.00000000   0.06459092
susy.370621.NUHM2_m12_600.slha    136      0.0001672449   1.00000000    1.00000000   0.05977911
susy.370621.NUHM2_m12_600.slha    137      0.0063210120   1.00000000    1.00000000   0.07773831
susy.370621.NUHM2_m12_600.slha    138      0.0000738669   1.00000000    1.00000000   0.07600501
susy.370621.NUHM2_m12_600.slha    144      0.0000050854   1.00000000    1.00000000   0.10988000
susy.370621.NUHM2_m12_600.slha    145      0.0006099769   1.00000000    1.00000000   0.05679637
susy.370621.NUHM2_m12_600.slha    146      0.0230198632   1.00000000    1.00000000   0.06402567
susy.370621.NUHM2_m12_600.slha    147      0.0002805066   1.00000000    1.00000000   0.07646096
susy.370621.NUHM2_m12_600.slha    148      0.0091676826   1.00000000    1.00000000   0.07848717
susy.370621.NUHM2_m12_600.slha    157      0.6745140438   1.00000000    1.00000000   0.07398616
susy.370621.NUHM2_m12_600.slha    158      0.0005268754   1.00000000    1.00000000   0.06482055
susy.370621.NUHM2_m12_600.slha    167      0.0005263009   1.00000000    1.00000000   0.06458416
susy.370621.NUHM2_m12_600.slha    168      0.0159949974   1.00000000    1.00000000   0.06360196
susy.370622.NUHM2_m12_700.slha    111      0.0007869897   1.00000000    1.00000000   0.07181679
susy.370622.NUHM2_m12_700.slha    112      0.6643270342   1.00000000    1.00000000   0.07021531
susy.370622.NUHM2_m12_700.slha    113      0.0000996207   1.00000000    1.00000000   0.06721434
susy.370622.NUHM2_m12_700.slha    114      0.0000204490   1.00000000    1.00000000   0.07299332
susy.370622.NUHM2_m12_700.slha    115      0.8407296201   1.00000000    1.00000000   0.06552209
susy.370622.NUHM2_m12_700.slha    116      0.0002658841   1.00000000    1.00000000   0.06040295
susy.370622.NUHM2_m12_700.slha    117      0.4923724748   1.00000000    1.00000000   0.08491961
susy.370622.NUHM2_m12_700.slha    118      0.0001190742   1.00000000    1.00000000   0.08405305
susy.370622.NUHM2_m12_700.slha    122      0.0001324452   1.00000000    1.00000000   0.07307817
susy.370622.NUHM2_m12_700.slha    123      0.0033217150   1.00000000    1.00000000   0.06361965
susy.370622.NUHM2_m12_700.slha    124      0.0002184464   1.00000000    1.00000000   0.06456221
susy.370622.NUHM2_m12_700.slha    125      0.6766070496   1.00000000    1.00000000   0.06427279
susy.370622.NUHM2_m12_700.slha    126      0.0003241413   1.00000000    1.00000000   0.05818056
susy.370622.NUHM2_m12_700.slha    127      0.3913281838   1.00000000    1.00000000   0.08575382
susy.370622.NUHM2_m12_700.slha    128      0.0001431279   1.00000000    1.00000000   0.07221632
susy.370622.NUHM2_m12_700.slha    133      0.0000034045   1.00000000    1.00000000   0.08794933
susy.370622.NUHM2_m12_700.slha    134      0.0000026928   1.00000000    1.00000000   0.07609993
susy.370622.NUHM2_m12_700.slha    135      0.0048337927   1.00000000    1.00000000   0.05703733
susy.370622.NUHM2_m12_700.slha    136      0.0000502367   1.00000000    1.00000000   0.06355969
susy.370622.NUHM2_m12_700.slha    137      0.0025078220   1.00000000    1.00000000   0.07562175
susy.370622.NUHM2_m12_700.slha    138      0.0000209783   1.00000000    1.00000000   0.07847390
susy.370622.NUHM2_m12_700.slha    144      0.0000052666   1.00000000    1.00000000   0.07856700
susy.370622.NUHM2_m12_700.slha    145      0.0002494848   1.00000000    1.00000000   0.06059516
susy.370622.NUHM2_m12_700.slha    146      0.0118318988   1.00000000    1.00000000   0.07046938
susy.370622.NUHM2_m12_700.slha    147      0.0001094560   1.00000000    1.00000000   0.07805891
susy.370622.NUHM2_m12_700.slha    148      0.0044453542   1.00000000    1.00000000   0.08306247
susy.370622.NUHM2_m12_700.slha    157      0.6438838471   1.00000000    1.00000000   0.07295880
susy.370622.NUHM2_m12_700.slha    158      0.0002140543   1.00000000    1.00000000   0.06775447
susy.370622.NUHM2_m12_700.slha    167      0.0002138494   1.00000000    1.00000000   0.06731630
susy.370622.NUHM2_m12_700.slha    168      0.0079546496   1.00000000    1.00000000   0.06899943
susy.370623.NUHM2_m12_800.slha    111      0.0005212386   1.00000000    1.00000000   0.07063351
susy.370623.NUHM2_m12_800.slha    112      0.6598118363   1.00000000    1.00000000   0.06943069
susy.370623.NUHM2_m12_800.slha    113      0.0000669873   1.00000000    1.00000000   0.06712724
susy.370623.NUHM2_m12_800.slha    114      0.0000113016   1.00000000    1.00000000   0.07064093
susy.370623.NUHM2_m12_800.slha    115      0.8098002978   1.00000000    1.00000000   0.06493814
susy.370623.NUHM2_m12_800.slha    116      0.0001234140   1.00000000    1.00000000   0.06889051
susy.370623.NUHM2_m12_800.slha    117      0.4737135796   1.00000000    1.00000000   0.08608973
susy.370623.NUHM2_m12_800.slha    118      0.0000526249   1.00000000    1.00000000   0.07771427
susy.370623.NUHM2_m12_800.slha    122      0.0001087675   1.00000000    1.00000000   0.07088280
